0,1,2,3,4,5,6,7,8,9,10,,,,,,,,
36872.0541,34550.2266,23398.20813,34062.76504,33450.68756,34472.66039,34070.53667,33048.44505,33053.40058,31977.06836,33784.16406,,,MSE,RMSE,MAE,MSLE,EVS,R2
34182.7469,28549.9055,22204.70209,26486.54024,28178.16198,26788.95951,27422.53861,27920.88551,26268.29292,26384.06445,26027.49609,,1,34025057.97,5833.100203,3907.947494,0.030575026,0.786575719,0.769956759
38193.8207,39244.8192,23691.61761,35190.58136,35072.76824,35035.82417,33446.20337,33763.4008,35511.3213,37281.69531,35044.52344,,2,122015752,11046.07405,8823.310429,0.140542699,0.181582402,0.175052131
42353.6174,29763.5596,24968.49877,41201.09579,35158.9463,37087.80913,38912.56534,38113.08618,39083.26069,41745.55469,43652.75,,3,25332613.99,5033.151497,3724.610492,0.030483598,0.841335199,0.828726328
43450.0671,32937.8389,22125.22963,40645.81298,36280.49416,38292.42243,40051.13202,39829.28851,40850.30144,39335.58984,42604.19141,,4,57620077.43,7590.788986,5023.805768,0.049651137,0.639836577,0.610430954
47327.1648,32937.8389,28291.44096,39952.46277,30895.1431,37879.07402,38740.72995,39571.9333,40840.02729,36668.12891,41166.67969,,5,30889655.69,5557.846318,3607.430613,0.025156884,0.807094331,0.791155197
47182.7187,38438.0861,23513.51415,39497.09079,34905.47356,34774.11421,36412.99502,33873.73062,39407.13594,38540.74609,38753.92188,,6,26451384.43,5143.090941,3349.39777,0.021316152,0.83909943,0.821162326
46796.3738,46105.8552,34117.05603,40280.72631,35012.94942,39917.3974,41433.25875,39545.4503,44285.02298,36098.24609,45017.61328,,7,28779887.16,5364.688916,3666.22836,0.024945029,0.807977242,0.805419331
46648.787,44186.1206,35635.54766,40261.98706,38646.5635,44149.01149,43867.55264,41936.51515,44771.52555,40565.69141,41783.07813,,8,24117468.74,4910.953954,3197.464063,0.019768491,0.85428535,0.836941918
45809.1665,44186.1206,38475.26891,41173.73912,38646.5635,42993.74921,44050.70489,42558.681,43303.21608,41596.5625,41594.99219,,9,33424059.29,5781.354451,3765.698897,0.028434963,0.790949401,0.774020108
46224.5534,45106.4814,38468.52795,45134.61074,37718.25278,43161.60357,43290.40333,42791.33939,42459.52827,43821.1875,46227.14844,,10,17453450.75,4177.732729,3119.529814,0.024136246,0.883592587,0.88199731
48158.0852,45106.4814,37389.61836,47680.72869,43905.79836,43032.74409,44053.36567,42774.7217,43446.93257,44241.87109,50097.49609,,,,,,,,
