0,1,2,3,4,5,6,7,8,9,10
2495.1762,2807.1222,2339.917622,2427.414341,2484.42754,2612.12161,2551.785059,2585.004827,2400.333567,2343.591309,2425.216797
2397.5825,2286.8682,2256.541176,2400.668197,2488.46336,2405.55137,2394.048488,2464.943876,2429.243229,2349.646729,2333.531494
2463.7423,2286.8682,2300.330552,2405.085131,2502.12698,2440.6074,2427.277923,2456.834249,2459.64534,2479.078857,2461.304932
2554.2804,2566.4036,2403.019477,2613.519571,2555.69292,2547.97538,2517.725591,2461.494315,2459.934673,2684.131104,2728.703857
2542.3081,2624.5952,2426.715571,2622.754355,2495.10614,2599.74473,2548.273663,2556.23738,2576.672535,2701.571045,2792.445557
2750.6865,2444.5041,2436.623305,2584.427279,2373.32506,2521.28725,2535.066764,2618.857317,2595.065314,2407.549072,2597.185547
2728.5295,2531.91,2416.623602,2456.190893,2458.77156,2507.7737,2557.212034,2461.494315,2447.748853,2501.971436,2543.846436
2752.3625,2939.9781,2690.545541,2499.831617,2544.59292,2649.05745,2683.551519,2680.761744,2754.239461,2703.707031,2869.210205
2760.643,2430.3722,2639.749396,2566.266562,2608.62862,2581.03803,2595.825622,2587.076093,2596.078266,2613.862549,2750.771484
2831.6705,2594.3436,2624.773745,2584.64971,2608.62862,2587.05073,2584.386902,2586.163893,2590.931152,2554.953125,2700.813477
2788.5921,2654.5338,2607.827075,2619.640668,2592.78516,2642.80692,2606.033788,2529.094653,2644.596365,2525.398682,2698.392334
2852.767,2430.3722,2588.032078,2553.567772,2620.20476,2546.66705,2566.075472,2522.993929,2564.876439,2499.494385,2694.932129
2970.8674,2542.21,2502.456512,2543.216056,2556.11112,2604.80601,2564.129251,2493.617069,2597.800054,2436.272461,2557.428711
2944.3396,2629.7719,2433.111148,2629.840769,2536.77004,2562.25397,2573.357103,2579.599978,2562.444334,2493.656494,2539.826416
2565.8151,2483.5581,2437.737486,2503.963709,2516.42664,2531.50984,2557.487255,2486.705049,2520.267041,2515.485596,2559.508789
2490.0064,2556.9834,2443.220662,2357.183512,2338.36744,2481.18668,2482.603524,2402.210628,2498.868017,2370.649902,2354.165283
2507.1189,2680.18,2541.198442,2431.672031,2451.62332,2600.45516,2517.139956,2507.044454,2488.514341,2403.017822,2443.025391
2572.6628,2412.8106,2430.274518,2578.336574,2537.4183,2451.7302,2527.971317,2544.898681,2463.175949,2496.984375,2517.614502
