0,1,2,3,4,5,6,7,8,9,10,,,,,,,,
28219.5401,21309.3338,10139.77448,24760.53492,23612.91668,24768.59305,24609.17194,23027.34269,24251.3573,16016.83691,25816.71484,,,MSE,RMSE,MAE,MSLE,EVS,R2
25760.5194,20954.5595,12296.63271,21609.63477,21030.77656,20932.5226,20691.68316,22306.60877,19709.33106,16019.2832,18962.21094,,1,43903197.54,6625.948803,4129.507043,0.047152493,0.488054411,0.367261414
28783.4369,27600.5378,10005.49976,25314.42162,24447.48822,24609.01989,25485.82239,23083.35259,25333.14055,16019.62891,25896.9375,,2,293043232.1,17118.50554,14257.91646,2.109911341,-3.198500193,-3.223377127
32019.0914,27600.5378,6694.330271,28129.3308,24685.45946,26207.49475,25542.82261,23296.55398,25495.36405,16016.48438,30835.18359,,3,62604452.05,7912.29752,5700.03288,0.080562491,0.134480731,0.097736505
33405.7285,27099.0366,2529.557198,28329.51838,25519.1616,27338.09291,25534.27221,23177.05259,25997.51598,16015.83008,29169.17969,,4,110055712.9,10490.74415,6415.146922,0.103181411,-0.565791525,-0.586137231
36082.4297,23267.748,11386.047,27740.61893,21702.99398,24580.0973,24912.65215,23191.97584,26655.95789,16015.53613,28395.51172,,5,34478092.65,5871.804888,3718.315956,0.034442597,0.585015451,0.50309725
36846.3233,27055.5813,5331.836777,28837.6795,24975.25168,24689.81644,24773.63699,23240.56372,25916.97719,16017.98926,26706.51172,,6,40824396.11,6389.397163,3874.016838,0.04035688,0.513276498,0.4116335
37252.147,29725.0081,17338.14073,31064.66666,24165.23976,29947.64782,26476.21322,23177.05259,27406.31084,16016.18457,33017.79297,,7,78135755.53,8839.443168,6274.838698,0.087790964,-0.10960411,-0.126102659
36525.375,28801.7618,20402.76378,29970.98706,25952.84702,30312.06574,28556.82688,23759.10885,28585.42343,16016.24609,27442.95898,,8,37224021.55,6101.149199,3724.002264,0.03668017,0.574647959,0.463522566
35535.4098,28801.7618,25539.61813,29138.34455,25952.84702,30158.88606,28592.81406,23759.10885,29867.78075,16016.27441,28236.66211,,9,141335244.4,11888.45004,8045.925258,0.221048726,-0.348800952,-1.036941902
