0,1,2,3,4,5,6,7,8,9,10,,,,,,,,
784.3503,672.3159,369.0927088,433.2907478,500.5671,541.8418,482.84076,523.4994587,467.3635711,388.7867432,442.593811,,,MSE,RMSE,MAE,MSLE,EVS,R2
656.3444,323.0957,408.2323374,435.5480594,395.20002,411.33842,411.089913,423.099012,406.6469099,411.7926941,396.6403503,,1,181157.7754,425.626333,388.8797741,0.670323958,-0.252638681,-6.543022628
746.9589,658.6778,509.3613495,562.2498848,435.1383,563.92706,521.440635,527.3183214,548.3146736,527.5348511,468.9697876,,2,165191.7763,406.437912,378.7122276,0.558037215,0.093592648,-5.878232546
753.6572,323.0957,335.6765668,443.3031643,473.12146,368.56969,403.954306,446.4148657,398.9155501,406.7835083,387.8968201,,3,163422.9689,404.2560685,380.2698732,0.559808448,0.216467338,-5.804583185
857.7386,302.72,379.9703879,414.0240602,513.89834,350.45065,370.602434,376.513186,315.3263634,386.076416,361.3971558,,4,152729.1863,390.8058166,366.5824966,0.508443628,0.236092631,-5.359316932
959.2059,288.0081,444.9836597,421.6803539,357.9119,471.8253,374.524617,411.3286357,330.7260923,393.013031,376.8280334,,5,173177.8143,416.1463857,389.5881399,0.600479824,0.108995719,-6.210754102
972.9343,402.6347,346.3072918,409.0681713,468.0919,335.585,350.299089,421.69795,311.1632244,383.1201172,324.6451416,,6,164254.2639,405.282943,382.5026669,0.561348398,0.252768005,-5.839196533
951.3686,567.4238,355.510882,350.7646945,406.66418,405.27021,427.361119,394.8285176,401.9326642,329.5171509,392.2171631,,7,134890.4689,367.2743782,342.7763016,0.397073889,0.275714538,-4.616550861
955.9868,296.1637,361.8361569,380.804664,368.50046,497.68307,491.574882,388.086998,466.5298361,362.2433777,349.8418579,,8,168229.9027,410.1583873,384.8041821,0.579660757,0.160762052,-6.004733635
948.6206,359.3569,389.1505824,409.7813596,368.50046,424.03362,484.879902,470.9638824,492.5243388,393.7836609,420.1513672,,9,166113.1729,407.5698381,383.339394,0.553268164,0.202048583,-5.916597532
916.8048,315.7348,461.8174823,439.9245503,366.35928,392.13885,527.403252,592.2359771,513.8116167,430.5571594,508.5037231,,10,159137.0452,398.9198481,374.5968033,0.550016047,0.216613582,-5.626126481
1003.0392,337.8757,490.3107887,429.9151432,416.36018,404.36662,497.629164,427.1603278,574.6862419,454.3416138,553.1422119,,,,,,,,
1067.9972,793.173,488.602906,426.9624149,458.77524,366.45426,423.950291,439.3925919,398.543679,427.2476501,496.6952515,,,,,,,,
926.6269,645.7658,438.6382385,405.3119356,368.59548,505.83458,484.633793,513.8950431,532.144472,417.1656494,430.3009338,,,,,,,,
759.7736,288.0081,415.0924629,370.5915926,412.74126,397.00212,350.765736,421.0930508,327.5941894,328.5615845,306.3849792,,,,,,,,
701.1595,285.3776,370.4464073,358.3709507,365.73318,297.68631,315.685778,371.2369143,350.4378138,330.3078003,345.5696716,,,,,,,,
719.8854,349.7062,413.1655709,359.8434283,352.27022,328.67934,341.707582,384.4751577,342.2209086,358.6139832,429.1796875,,,,,,,,
682.2159,323.0957,404.6469535,398.4149204,387.46706,323.82348,383.52863,398.7665219,391.5032914,423.2443542,474.4159241,,,,,,,,
737.7137,673.8675,434.5465987,427.3194845,431.29882,375.27278,416.529819,446.4148657,489.2629388,502.732666,521.862915,,,,,,,,
805.3732,288.0081,389.8167086,397.1426485,416.58506,365.50124,391.094405,435.5463357,318.9940123,397.1611328,457.0513916,,,,,,,,
886.2701,301.1077,373.6243169,331.921816,370.48932,336.91948,336.396285,423.099012,317.8739801,358.5397034,370.3579102,,,,,,,,
779.1216,349.7062,320.5135838,405.2592495,401.50304,320.6207,331.314798,384.4751577,337.3836045,312.8108521,315.3487549,,,,,,,,
818.7179,339.1832,394.1663505,317.6569112,341.626,331.3487,359.42917,380.621513,310.870891,382.0811157,439.4031372,,,,,,,,
925.5899,313.6621,315.8221054,351.750721,433.4625,333.28839,411.337583,451.0878444,341.1078605,345.2156982,334.3490601,,,,,,,,
1056.5782,313.6621,356.5266433,466.8005505,470.18288,325.03046,424.813814,502.0387417,409.6947725,450.1914063,437.4458008,,,,,,,,
1118.3089,370.1268,430.5816853,495.9790764,507.39244,350.13157,387.594422,462.1717508,388.1202816,467.08078,428.1349487,,,,,,,,
1303.3167,330.123,345.9479086,363.8891643,502.62972,359.04746,381.975551,423.099012,299.5388764,369.4801941,362.2450562,,,,,,,,
1332.4963,330.123,337.4494375,393.3855492,463.55686,381.04419,389.44924,423.099012,296.3607152,391.3477173,401.1947632,,,,,,,,
1131.2232,326.4407,449.7947159,444.1095251,419.04212,371.60702,430.352808,494.4445439,345.487543,433.4559021,488.1163025,,,,,,,,
1047.7137,326.4407,380.7164493,548.4465484,510.55754,339.4051,474.357153,494.4445439,523.0950264,443.8569336,565.0209961,,,,,,,,
1102.5384,326.4407,503.3759615,511.0334762,492.9389,364.20508,464.367903,540.6130915,530.4015136,491.5842285,664.6196899,,,,,,,,
997.2941,326.4407,435.9964793,547.9873158,442.73068,348.33441,467.860655,559.35105,566.7591376,436.6271057,557.7253418,,,,,,,,
919.2596,315.7348,474.6311517,495.6503875,581.39442,454.40859,480.583335,439.3925919,553.3727266,494.4887085,580.9694824,,,,,,,,
1061.1002,370.1268,439.3635038,467.6443236,483.24948,363.2705,443.506229,492.6608301,527.9995459,420.5927124,523.6140747,,,,,,,,
1089.0784,337.8757,408.5644257,420.0684328,442.9178,451.25362,490.542022,462.1717508,483.0006045,412.1017151,528.3358154,,,,,,,,
957.7557,719.1861,375.6337436,553.8307964,594.4754,477.19994,500.600776,492.6608301,429.4110056,417.2904358,465.3817444,,,,,,,,
963.7632,337.8757,355.2658775,442.0748369,546.1809,404.55749,462.171459,423.099012,456.5557812,379.6304626,388.1344604,,,,,,,,
892.4259,323.2913,379.0988998,396.6895244,635.98874,434.43206,421.404758,419.2038672,364.9270783,358.8121033,353.9610901,,,,,,,,
875.8608,567.4238,362.4463935,441.3506232,474.02858,417.90117,469.804292,376.0271108,370.729555,351.1960144,390.3916626,,,,,,,,
1591.8165,353.5194,364.2192641,281.2326179,299.24936,332.47862,329.939802,405.9723,317.8060855,337.480957,341.0043335,,,,,,,,
918.1781,353.5194,488.4319878,367.16089,302.05748,423.29642,378.961435,405.9723,366.7055962,393.5749512,430.4432373,,,,,,,,
767.6096,326.4407,370.3196808,344.4010613,390.22274,541.23018,470.793678,540.6130915,489.2696409,382.551178,418.995697,,,,,,,,
709.7488,719.1861,353.885534,535.1380898,520.42884,432.0482,477.198616,427.1603278,391.8380995,512.9338989,510.1642456,,,,,,,,
748.9953,296.1637,302.6113597,397.3672883,413.97762,514.32996,495.427197,421.0930508,485.518638,345.3633423,320.2235107,,,,,,,,
648.3989,321.3751,272.8709349,384.0336498,337.52188,320.75086,315.266123,336.0648592,293.8280651,304.9986267,294.7099609,,,,,,,,
733.2458,330.2283,326.3988904,312.1675447,332.6595,333.71286,321.477133,398.7665219,335.8191956,322.5953979,385.6166687,,,,,,,,
794.4631,301.1077,252.8689509,323.6202764,332.6595,333.63094,346.984671,380.621513,273.9141805,319.0707703,309.5704651,,,,,,,,
702.5154,276.3301,309.4526387,337.8236563,346.71534,339.92683,381.291931,421.0930508,316.5962743,323.2365112,323.561676,,,,,,,,
718.3678,313.3089,252.2853593,368.1218905,339.90128,337.4667,339.68323,446.4148657,337.9186724,390.3868713,405.4173584,,,,,,,,
825.7474,301.1077,319.3723958,378.9534414,347.688,322.11991,341.534988,423.099012,317.4535388,314.1818848,300.3988953,,,,,,,,
817.6458,323.0957,345.8101342,352.2977347,323.16996,366.33325,349.651451,398.7665219,290.9485333,327.8568115,367.4570618,,,,,,,,
766.9044,323.0957,322.4190298,350.9700978,308.00992,324.12328,350.192386,398.7665219,310.4076074,329.1045837,363.7424316,,,,,,,,
740.4652,288.0081,374.5757401,396.2747119,382.0672,401.82535,366.264038,421.7147963,347.4483578,357.4239197,380.463623,,,,,,,,
694.712,645.3556,375.4829716,338.597407,380.4021,371.13367,390.682626,376.0271108,343.5405998,327.1358948,299.956604,,,,,,,,
720.3472,323.0957,360.000248,361.5634226,449.26468,346.14085,364.494945,403.5262978,375.6970798,379.1175842,392.8930664,,,,,,,,
