0,1,2,3,4,5,6,7,8,9,10,,,,,,,,
12612.5019,15544.9584,11993.24336,14920.5227,15174.46694,13947.85346,13857.96563,13860.3348,12764.99265,13716.76367,14298.99023,,,MSE,RMSE,MAE,MSLE,EVS,R2
13168.8147,14423.0491,12106.16116,13646.8381,14762.15352,13395.45812,13939.06775,13837.2083,13935.46719,13276.20605,13518.7666,,1,4844083.295,2200.927826,1719.418703,0.027723107,0.240490374,-0.207133285
13272.4796,12509.7188,12166.17231,13476.08163,14793.35234,13496.42817,14114.90059,14043.19669,13810.74688,14962.9043,14529.87598,,2,8167921.149,2857.957513,2502.687439,0.050550597,-0.326698755,-1.035425257
13959.1963,16255.936,12585.09932,16135.58387,14983.93796,15501.7548,15765.77443,15394.75914,15588.3415,16346.48926,17107.22656,,3,4199587.652,2049.289548,1759.932507,0.025912222,0.563772839,-0.046526603
14222.0236,15495.0318,12298.57785,16464.92955,14615.63222,16629.35504,16127.45167,15712.31181,16661.07796,16980.62305,17380.14844,,4,4193757.715,2047.866625,1743.916469,0.025736272,0.412102773,-0.045073798
13816.6202,16455.5687,12745.64501,15600.96556,13780.52308,15451.70493,15692.4092,15067.17987,16203.82233,14141.93359,15327.88184,,5,3028524.123,1740.265532,1483.127,0.019222211,0.632734359,0.245299461
12942.5442,12808.9305,11873.8958,14712.71504,13617.44574,15294.66303,15076.25547,14107.16346,15167.00034,14631.34863,14735.75977,,6,3069961.39,1752.130529,1511.954709,0.01953438,0.631150472,0.234973399
15132.7254,17599.5575,15109.81424,15831.24717,14271.74054,16521.20116,16479.13889,15857.19599,16578.14505,16171.86621,18103.9707,,7,3527850.272,1878.257243,1667.866923,0.023452408,0.581202997,0.12086865
15040.9938,13329.2389,15313.741,16577.00458,15968.88434,16331.38611,15724.29195,15551.24396,16691.859,16360.375,17751.24414,,8,3282152.017,1811.671056,1562.386821,0.020588311,0.607219135,0.182096033
15689.0994,14337.6592,15144.93981,16325.03785,15968.88434,16537.46773,15683.20766,15553.30172,15873.83285,15804.3623,16831.23633,,9,4513592.746,2124.521769,1809.904548,0.027128487,0.454709414,-0.124775877
15794.096,13726.8529,14749.94582,15686.97649,15560.06086,14506.65767,14705.05186,14799.55118,14406.55824,15443.90039,16147.99121,,10,4543213.47,2131.48152,1829.736968,0.027312746,0.635255575,-0.132157287
16555.9801,13726.8529,14045.37052,14939.33335,14829.85578,14299.76934,14672.22539,14765.34305,14528.32905,14813.41797,15901.24219,,,,,,,,
15417.2646,14675.9897,13258.87524,14757.1129,15186.76146,14634.06043,14826.24717,14288.62773,14158.98261,13608.35352,14699.36426,,,,,,,,
14357.0383,16858.8403,12794.54298,14753.68552,14431.34914,14680.05254,14724.93094,14827.9882,14129.6835,13865.21875,14112.15625,,,,,,,,
14132.7324,14575.2572,13873.47351,15526.56173,15670.47264,13999.16915,14920.86239,14381.07964,14492.03399,15682.28125,15219.69629,,,,,,,,
13261.1458,14820.1682,14506.52759,13582.29826,13158.90422,14457.18253,13924.20034,13595.06604,14010.30915,13767.37988,13277.77441,,,,,,,,
13232.4755,13918.7106,15267.97853,14824.10375,14835.15202,13843.43757,14052.82903,13839.60525,14528.34742,14071.56836,14368.42285,,,,,,,,
14049.6585,12984.4631,13612.59173,15111.08042,14330.95422,14711.04667,14425.53635,13842.93683,14516.40998,14729.15625,14859.30566,,,,,,,,
14577.3288,15805.6545,13395.40854,15406.05377,14467.92396,14172.36084,14914.50209,13992.7616,15132.00421,15100.30859,15281.57422,,,,,,,,
14096.6973,15805.6545,13485.78246,15373.87161,13388.54678,14304.1848,15328.62184,13965.23947,14656.61575,14422.55469,15267.40234,,,,,,,,
13496.5042,15816.2498,13641.52567,15907.25808,14176.2929,15013.54906,15307.54163,14107.16346,14702.6799,15158.3916,15306.7666,,,,,,,,
14258.3758,12843.2668,14209.17078,14513.82091,13567.91294,14750.60267,14987.8598,14043.19669,14383.32291,14609.90332,15088.96777,,,,,,,,
14301.4921,17599.5575,13955.39349,17021.21429,16131.30258,16615.3774,16532.38335,15619.15866,16911.90446,16247.45605,16982.94922,,,,,,,,
15276.2847,16255.936,12145.21603,16313.1465,15181.23184,16151.12422,15988.4077,15553.30172,16310.74369,16434.91211,17553.39258,,,,,,,,
15530.3203,16255.936,12973.30633,15592.01023,15050.11284,15765.48474,15595.73546,15324.89913,15387.82451,16617.26367,19360.29297,,,,,,,,
16713.6537,13726.8529,11449.01531,15554.74229,14525.57592,16085.16725,15102.05474,15698.23192,15508.18573,16102.73242,17684.08008,,,,,,,,
16622.6867,16255.936,11455.24662,16986.45445,13906.37238,16249.31265,15949.66232,14953.96529,16703.21734,15120.8877,17510.42578,,,,,,,,
16533.4673,16482.3508,12646.38054,17096.50948,14646.93904,16016.2186,15859.81215,15351.35847,16611.49174,15914.82324,18479.17188,,,,,,,,
17516.0072,17599.5575,14367.97011,15161.55286,15032.59254,16232.03635,16081.94079,15571.20755,15519.24448,15598.71191,17132.53125,,,,,,,,
17040.1091,17599.5575,14680.92506,15687.95453,14560.81664,15997.87468,15627.28169,15158.03116,16006.08505,14756.68945,18348.23633,,,,,,,,
16903.2053,17599.5575,15783.47109,16128.54212,15551.0543,16577.39871,15973.00159,15394.75914,15841.70839,14383.32324,17366.40039,,,,,,,,
18405.4014,17599.5575,14760.42395,15000.50304,14978.20162,14855.34808,15235.1877,14765.34305,15007.69451,14550.42676,16505.27344,,,,,,,,
16110.103,14350.2672,14427.98126,15404.02152,14614.63622,14844.93069,14917.75244,14871.42963,14868.35455,14985.00879,16083.14063,,,,,,,,
16176.7017,13726.8529,12432.96789,15454.59059,14791.31512,15482.71068,15035.71886,14784.76753,14436.08218,14788.2627,16289.04688,,,,,,,,
15918.9396,13726.8529,13195.01418,15542.67086,15633.245,15491.14835,14783.94682,14675.41599,14363.63103,14233.64746,16102.91992,,,,,,,,
16718.4853,16455.5687,14388.4898,15029.96722,14370.73242,15014.09602,15240.65422,14784.76753,15093.50386,15692.05078,16437.37695,,,,,,,,
