0,1,2,3,4,5,6,7,8,9,10,,,,,,,,
23.021,0.2978,0.262026814,0,1.40084,2.54559,2.71666,1.985811818,2.217140588,1.797717452,3.158055544,,,MSE,RMSE,MAE,MSLE,EVS,R2
3.636,3.05,2.944194295,2.622024177,1.25198,2.36608,1.564691,2.373742169,2.020583209,0.743961453,0.388232797,,1,1702.466997,41.26096214,34.05756667,6.449948929,-0.01231735,-2.066838697
3.5371,3.3167,2.650832227,2.581057146,1.84428,2.05974,2.438353,1.985811818,1.818519089,0.65594542,0,,2,1693.440254,41.15143076,33.97097944,5.32148595,0.01812961,-2.050577844
2.61,6.1166,1.36509982,3.527265637,1.69812,2.46439,2.703992,1.985811818,1.418661735,1.186263084,0,,3,1579.974149,39.74888865,32.6533118,3.853634031,0.065627591,-1.846179027
8.4516,6.1166,2.503913972,3.598994267,1.83154,2.48534,2.435685,1.985811818,1.280045574,0.494524658,0,,4,1690.406075,41.11454821,33.96669839,5.446451862,0.020963156,-2.045112048
2.5,0.7162,2.338018118,2.403617158,0.929,4.72226,2.096766,1.967967961,1.581796022,0.866451025,0.351224005,,5,1681.372332,41.00454039,33.90416661,5.22508115,-0.009118316,-2.028838587
2.8,6.56,3.91584742,2.766008581,0.63246,2.06296,3.554413,1.967512346,2.117402529,1.380494356,0,,6,1679.188851,40.97790686,33.77838509,5.094247889,-0.003310623,-2.024905244
6.779,3.02,3.734136899,2.447698871,1.57104,2.98468,2.199145,3.133919626,1.201463146,12.43343925,10.09560871,,7,1640.721072,40.50581528,33.34646009,4.493556211,0.046715308,-1.955609056
2.604,12.9381,4.394082942,3.85687764,0.9664,9.95299,6.753665,2.517265789,2.755808541,8.094225883,6.020152092,,8,1684.664728,41.04466747,33.835941,5.33377309,0.021929883,-2.034769536
2.06,0.934,4.852075691,4.757473437,0.9664,9.81945,5.381022,2.504955556,1.369752949,6.429294586,4.920078754,,9,1744.914399,41.77217254,34.54538582,6.475401823,-0.04144734,-2.143303812
2.5636,2.2998,4.030029314,4.303940832,1.01268,13.45341,16.106061,2.7107,6.468871311,3.793402433,2.487261534,,10,1658.874243,40.72927993,33.54206969,5.71822519,0.006115453,-1.988310335
5.1804,0.934,4.161765488,3.252063742,0.78142,12.93403,3.422137,1.534455556,0,3.235567093,1.410636187,,,,,,,,
6.3091,0.308,2.754734587,2.356013535,0.45856,1.03919,1.343544,1.800273333,1.188983882,1.386345863,0.119272269,,,,,,,,
7.3727,3.1725,2.05604261,1.587508389,3.28324,1.16436,1.397159,1.967512346,1.47677493,0.713701069,0,,,,,,,,
4.9019,0.4596,1.470109207,0,1.70754,2.661,1.520704,2.373742169,1.891423512,0.658431292,0,,,,,,,,
5.8348,3.7346,1.473430287,2.744792365,2.46492,2.25532,2.170741,2.373742169,1.583945302,2.743587732,2.729927778,,,,,,,,
4.5481,0.3,2.142865131,3.33373726,3.45492,1.71636,2.047429,3.133919626,1.25416582,4.037590504,5.520494938,,,,,,,,
3.213,2.2437,0.712270377,2.534837369,0.72684,0.94223,1.118419,2.304288462,2.365681071,1.401839256,4.73759985,,,,,,,,
4.0823,0.6678,1.003260245,2.923157727,0.61624,1.46511,1.069328,1.967967961,0.230225583,1.983821392,6.712851524,,,,,,,,
4.5081,0.5589,0.624973416,1.815822124,2.30828,2.2642,1.32691,1.927224121,0.752458361,2.108302593,5.869015694,,,,,,,,
3.2622,0.4751,1.680602422,1.729189746,2.18898,1.53891,2.542082,1.470450562,1.469243988,1.109519958,2.427163363,,,,,,,,
4.0605,0.3,2.214347424,2.070326235,2.79292,1.69074,2.268096,2.557737952,2.072654978,2.080636978,0,,,,,,,,
7.4764,0.3609,1.707961795,1.601263527,1.00732,1.77608,1.337021,2.304288462,1.348873113,2.719455481,5.075712204,,,,,,,,
