0_0,0_1,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1,6_0,6_1,7_0,7_1
2509.87,2632.091553,264.07,434.8180542,36098.5139,37509.71875,23676.6865,25438.74414,16718.697,15817.45898,2.5423,0.463567466,368.7213,355.2411499,79639.101,82535.71875
2624.5952,2653.289551,255.6283,355.8473206,38971.1205,39831.42188,25520.4517,27234.72266,16255.936,15790.45508,0.4655,0.852862716,364.6326,416.5201416,83992.8298,85079.53125
2724.21,2619.266602,239.36,266.418457,42207.6244,40408.24609,27099.0366,27521.27344,16482.3508,15109.0166,0.39,1.057917237,359.3569,461.1788635,89112.3287,84923.16406
2694.7667,2535.119385,289.1186,283.7348328,39376.5577,35435.15234,25905.7306,24288.0293,16540.1707,15477.90332,0.22,0,323.5101,403.8152771,85130.0744,78566.94531
2757.318,2461.760498,251.0148,218.0815887,39541.3019,35159.98828,25194.7028,24258.34375,17132.5884,14705.78418,1.07,1.416166306,389.9541,459.0582275,85267.95,77207.03906
2696.3741,2457.788818,207.07,254.2393799,39244.8192,34589.59375,24599.2775,25126.17188,15801.7162,14309.75977,1.98,0.655414164,367.8749,460.9717407,82919.1119,77303.50781
2563.8486,2612.257568,243.3498,334.5516968,39923.6315,38183.9375,26150.007,28487.66406,15805.6545,15776.50391,0.29,4.050044537,332.1031,506.9040527,85018.8845,84879.05469
2730.12,2718.250732,189.19,244.9092407,41579.5944,44755.23828,27402.0045,30842.08203,16452.5027,16248.74805,1.6354,1.451657891,327.73,516.7698364,88682.777,95058.75
2571.02,2678.55542,188.59,289.6016541,44472.4729,46449.10156,27567.0401,31958.21484,15744.8904,15918.875,0.5946,0,323.2913,407.6620789,90867.8993,96451.00781
2505.97,2676.766846,201.65,201.4405365,41464.3016,44453.71875,25788.8325,30649.47266,14675.9897,15239.18359,0.4814,0.140614659,315.7348,501.9744873,84952.96,93304.72656
2385.41,2461.637695,195.9,153.7672882,40064.3378,41351.18359,25205.1918,28294.16797,14519.8289,15348.22461,0.5,0,337.8757,481.1028137,82709.0442,85855.32031
2245.79,2431.663818,159.6,144.1424866,37691.722,39285.69922,23826.1398,27512.48047,14187.6594,14376.70996,0.76,0,308.0661,521.0809326,78419.7373,81969.41406
2161.79,2399.232666,149.12,142.5491943,34517.259,34488.76172,22240.4448,25619.90234,11743.987,13928.86816,1.87,4.230569363,307.2483,567.7766113,71121.7191,75746.51563
2105.71,2434.474609,106.43,227.0495758,31961.4759,34878.99609,20919.3384,23573.92383,11657.7209,14015.52539,0.24,0,329.994,430.1242065,67080.9092,75630.375
