date,sum,day,night,sum_c,day_c,night_c
2015/9/16,55276.3129,38625.901,16878.9426,3085.8979,2074.0362,1011.8614
2015/9/17,56547.9586,38886.8152,17176.0974,1523.7753,1017.3099,506.4352
2015/9/18,57509.6625,39216.1463,17794.718,3293.6128,2159.3966,1134.216
2015/9/19,58362.0756,41479.1307,17615.1442,1673.179,1058.6433,614.5358
2015/9/20,54730.7109,40080.6299,15853.161,7014.5339,5359.2441,1655.2701
2015/9/21,53720.0118,39385.0973,15696.6588,3990.46,2709.6101,1280.84
2015/9/22,58355.3805,41158.502,17823.3775,2640.0798,2059.37,580.67
2015/9/23,59012.6251,41923.7037,17679.3711,4387.5427,3043.1338,1344.4089
2015/9/24,60238.2207,41808.3105,18021.1179,3904.4962,2652.5577,1251.8986
2015/9/25,58483.4465,40439.1974,17519.5921,5095.2274,3091.9738,2003.2535
2015/9/26,58825.3092,41444.5211,18190.6007,7074.5884,4920.8375,2153.7405
2015/9/27,53195.3841,39671.0699,15969.3214,7371.2378,4885.7206,2485.5479
2015/9/28,53151.815,39946.5021,15562.8064,4382.5663,3402.9538,979.6113
2015/9/29,56136.3978,41064.5444,16827.551,6193.4135,4714.8162,1478.5975
2015/9/30,62992.4542,45226.163,18712.194,2525.8804,1408.513,1117.3673
2015/10/1,53816.4885,37788.119,17296.3649,1499.4326,1485.6939,13.7386
2015/10/2,46951.3394,35278.2835,13742.2895,7974.4298,4524.91,3449.51
2015/10/3,47050.5827,35745.0658,14185.5222,1877.5906,1199.155,678.4453
2015/10/4,47469.0988,36498.3354,13919.7546,2893.4605,1946.9616,946.499
2015/10/5,48393.2645,37617.4241,13846.0976,2461.8763,1874.108,587.7681
2015/10/6,49360.9581,38228.965,14136.2189,3167.9801,2517.4297,650.55
2015/10/7,51535.7488,40530.6449,14292.8713,3880.6,3057.38,823.22
2015/10/8,50885.9564,40425.3715,14557.5029,16615.1118,12896.1907,3719.003
2015/10/9,52905.8516,41123.0115,15672.3645,43794.3179,35077.309,8717.0389
2015/10/10,52684.9849,39782.175,15936.9041,1015.2099,541.7401,473.4802
2015/10/11,53710.3434,40567.2037,15328.7592,1994.8477,1416.5184,578.329
2015/10/12,49847.4097,38670.325,13987.4508,3046.73,2131.37,915.39
2015/10/13,51542.3587,38978.6645,15085.2667,3439.4899,2147.8901,1291.58
2015/10/14,53242.8687,39868.6404,15576.4378,2347.0551,1709.2974,637.7561
2015/10/15,53317.2514,39458.0007,15698.3938,2229.7963,1582.7966,647.0195
2015/10/16,53382.3541,39427.8544,15899.0096,2891.0354,1907.0056,984.0283
2015/10/17,54508.273,41062.184,15700.2964,904.2689,618.7231,285.5462
2015/10/18,52363.7772,39567.7954,14626.2054,362.0814,290.6742,71.4268
2015/10/19,51914.9349,38867.7256,14799.9366,6.3471,4.2004,2.1492
2015/10/20,53978.3133,39467.8003,15777.3444,203753.674,55760.0857,80347.4752
2015/10/21,54422.8571,39234.7668,15874.3488,4756.5839,3217.313,1539.271
2015/10/22,54175.9972,38854.9277,15753.2685,7819.5918,5395.0299,2424.5615
2015/10/23,54706.4037,38852.7813,16235.5268,3947.0238,2849.84,1097.1837
2015/10/24,56282.5282,39122.0787,16397.2113,8495.5192,5475.4798,3020.0393
2015/10/25,52785.2515,37327.2822,14957.6444,473.6007,304.0725,169.5485
2015/10/26,52199.1726,36490.553,14986.7059,4684.6677,3567.647,1117.0403
2015/10/27,55767.8513,38080.229,16246.9767,2778.5431,1535.8549,1242.6681
2015/10/28,54968.8703,37877.1926,15658.7361,3371.7888,2601.5783,770.2402
2015/10/29,55764.6235,39108.6072,15508.3911,1666.9275,1035.2506,631.647
2015/10/30,56356.4459,39826.2604,16352.54,5869.1394,4084.1087,1785.0109
2015/10/31,58345.347,41678.3919,16775.6799,2097.8846,1491.6149,606.2399
2015/11/1,54697.673,41730.3602,14204.434,2813.64,1921.31,892.3399
2015/11/2,52847.7886,39132.7685,14699.1442,1381.4045,1130.4669,250.9575
2015/11/3,56372.889,40187.8516,16346.7539,2592.1039,1578.4984,1013.6055
2015/11/4,56416.967,40699.9235,15982.3902,2334.4793,1657.8991,676.5798
2015/11/5,56879.6274,40237.1451,16711.4968,1103.1295,709.8262,394.032
2015/11/6,56553.3313,39979.8226,16634.042,2608.7335,1964.6361,644.0983
2015/11/7,57856.0681,42047.871,16369.2695,6162.8355,4638.9091,1523.9167
2015/11/8,54834.2127,41151.0412,14780.8616,3494.6631,2167.567,1327.1158
2015/11/9,55391.23,41415.8505,15176.1667,476.4145,288.8151,187.6185
2015/11/10,58530.1692,42358.418,16927.3509,425.2921,252.0675,173.2334
2015/11/11,58715.3717,41826.5179,17338.0478,363.3024,159.2113,204.0908
2015/11/12,58562.526,42051.9141,16790.4502,319.4507,167.354,150.9589
2015/11/13,60536.7004,42912.5689,17454.1719,7252.979,4501.7801,2751.2191
2015/11/14,59117.2047,43151.9193,17060.7666,1198.6729,775.8259,422.8469
2015/11/15,57716.2654,42582.8358,16467.0124,2255.6185,1628.4901,627.1284
2015/11/16,57280.042,41462.3596,16346.6519,2764.7552,2109.8295,654.9163
2015/11/17,59665.7867,43007.6921,16780.8426,4744.9565,3405.197,1339.7598
2015/11/18,60852.245,43333.8082,17301.2397,1305.5965,770.9766,534.6202
2015/11/19,56927.391,43812.6066,17629.4811,2276.1729,1477.9575,798.2153
2015/11/20,61617.2569,43761.5901,17471.4912,1083.3733,696.8132,386.56
2015/11/21,63085.9587,45993.7902,17465.9788,9267.0381,6470.7,2796.3381
2015/11/22,58452.5042,44151.6948,15945.6907,4027.0717,2893.8418,1133.2201
2015/11/23,58488.3211,44039.9581,15831.8054,1605.5242,1101.2901,504.2542
2015/11/24,64594.6823,47584.5061,18158.2352,497.1202,328.9301,168.1901
2015/11/25,71631.2205,51138.9052,20344.0423,3943.7296,3197.9726,745.757
2015/11/26,83637.4286,57863.3192,24550.8807,1201.3303,921.5501,279.7805
2015/11/27,89702.1788,60160.0964,27927.497,1724.0967,1414.8171,309.2797
2015/11/28,85419.4563,59030.9629,26002.9002,2643.6486,1234.0932,1409.5554
2015/11/29,79941.6467,57376.8945,22226.8723,1992.597,1390.7799,601.8173
2015/11/30,73172.8255,50580.5175,21819.2159,0,0,0
2015/12/1,72749.0816,49446.0419,22230.6485,9082.88,6484.74,2598.1398
2015/12/2,75973.1177,51836.8564,22000.0856,562.3437,410.9436,151.4001
2015/12/3,78101.9621,52811.9055,23738.5009,2187.2937,1683.4299,503.8638
2015/12/4,83532.9223,55548.0596,25279.3738,1854.5201,1170.2898,684.23
2015/12/5,93655.8155,65450.3569,26535.868,198.8351,140.1899,58.645
2015/12/6,92341.9422,65377.8804,25994.1269,189.63,135.29,54.3401
2015/12/7,79829.596,55598.2211,24033.5449,3427.7224,2299.2553,1128.4571
2015/12/8,82484.2862,55993.2496,25311.4573,4203.4782,3123.1957,1080.2928
2015/12/9,82169.3016,55241.9171,24752.0723,3221.9199,1987.34,1234.59
2015/12/10,79665.8374,54676.8743,23256.6054,7804.5408,3876.3976,3928.1434
2015/12/11,84547.8352,55521.8268,25457.6694,1991.4988,1442.1499,549.3386
2015/12/12,84615.6704,56549.3604,25954.8235,2419.0031,1899.876,519.1268
2015/12/13,87420.6069,60311.3397,24026.9778,1752.929,1292.1671,460.7615
2015/12/14,83418.8527,57483.6348,24251.7273,2920.6751,2065.5993,855.0755
2015/12/15,87720.2158,58954.3946,26275.7102,1548.3693,1114.743,433.6161
2015/12/16,96330.0138,63831.3011,28557.5887,4053.0968,2780.6269,1272.48
2015/12/17,102031.6912,66569.6774,30562.5274,3263.107,2339.9557,923.1517
2015/12/18,101196.1492,64452.5797,31569.8551,1656.7642,1099.3901,557.3641
2015/12/19,98999.7923,65469.763,30004.9546,591.5126,445.4313,146.0815
2015/12/20,90747.2062,64186.1936,24878.3941,2565.4602,1902.3499,663.1401
2015/12/21,87773.4547,60309.8297,25438.5061,3492.6599,2598.85,893.83
2015/12/22,88184.5711,58289.8721,26812.3254,1027.0001,613.4601,413.5699
2015/12/23,87032.1334,58103.368,25683.8635,720.1909,494.3629,225.848
2015/12/24,91764.8043,59577.0365,27895.8324,312.1099,211.14,100.9701
2015/12/25,87671.9132,57095.6266,26862.0679,1896.862,1283.7509,613.1112
2015/12/26,91432.7607,60112.1454,27932.3548,3711.0658,2613.0271,1098.0287
2015/12/27,90831.0918,63732.0006,24766.7898,4866.2189,2974.7101,1891.4786
2015/12/28,92114.9943,62424.9365,26366.6997,2424.77,1433.28,991.49
2015/12/29,96231.5285,62400.4206,29288.8648,1578.5405,1103.7815,474.7687
2015/12/30,92023.7677,59213.9196,28328.5507,1920.8616,1553.3693,367.4926
2015/12/31,94693.074,61064.9374,29126.911,2919.8758,2507.8823,412.0033
2016/1/1,86338.7261,56343.7328,27191.6518,1307.7307,996.1002,311.6506
2016/1/2,75990.6018,51439.4111,22666.9738,1496.7601,1049.1602,447.6004
2016/1/3,78380.6185,54792.2247,21942.1968,451.5059,367.3131,84.1827
2016/1/4,78634.9826,53890.2528,21933.6344,4699.5194,3663.3684,1036.1915
2016/1/5,88035.2854,59461.8835,24856.1557,83.55,82.39,1.18
2016/1/6,91883.9139,60799.5198,26681.3926,5439.36,3932.6099,1506.7298
2016/1/7,93544.39,61653.9796,27550.2229,1723.4456,1286.8172,436.6381
2016/1/8,98528.5748,63113.3653,30009.1725,394.6986,300.0607,94.6479
2016/1/9,102080.4277,66331.4149,30488.7493,1223.7046,969.5648,254.1499
2016/1/10,95719.777,66060.6014,26474.8133,2138.2387,1631.6867,506.562
2016/1/11,94392.2943,64657.2807,26393.0473,4125.8544,2732.5701,1393.2845
2016/1/12,107325.0596,70715.392,31152.4556,3172.0681,2775.5923,396.4759
2016/1/13,113619.1762,73941.696,33734.8094,588.5496,500.5827,86.8669
2016/1/14,113579.0631,71287.6299,34680.2602,767.3801,666.58,98.2603
2016/1/15,106101.3368,65734.3792,33794.2731,1466.1143,1079.2891,386.8252
2016/1/16,102909.323,65843.8754,31725.4128,1850.9315,941.8404,909.0914
2016/1/17,103157.0087,70180.7306,28627.6112,31987.8607,30815.0089,1241.4939
2016/1/18,108302.2345,72476.1792,30643.5829,27517.3232,16761.5112,10755.8324
2016/1/19,117371.5599,75131.0444,36197.8103,1006.7822,750.6538,256.1283
2016/1/20,120736.7806,77912.2425,36628.5145,1141.8963,941.4035,200.4924
2016/1/21,124203.6717,81891.9985,36442.3184,1779.4074,1464.3209,315.0875
2016/1/22,128541.7936,83168.4805,38657.973,2340.4819,1410.5564,929.9262
2016/1/23,145007.8745,96148.0259,41728.1603,5266.4081,4003.3802,1263.0081
2016/1/24,158135.915,107788.5299,43156.7892,8807.8313,6136.3417,2671.4897
2016/1/25,138896.7022,89791.8311,42898.1039,2308.9602,1802.97,506.01
2016/1/26,127165.0689,80126.7527,41441.9611,11.7848,7.85,3.9345
2016/1/27,128709.7552,82191.0488,39325.0014,15.5601,10.34,5.2099
2016/1/28,111266.0879,72599.2651,33772.9404,259.7901,173.0501,86.74
2016/1/29,114690.4711,74702.6291,34417.1578,30.6312,20.2778,10.31
2016/1/30,114286.7052,74642.9596,35109.5047,2192.4101,1545.97,646.4199
2016/1/31,115293.4465,76861.3947,33847.8001,1540.2921,1103.799,436.493
2016/2/1,114765.9246,75787.7278,34885.1213,1068.8706,941.1707,127.7
2016/2/2,110667.9375,71100.7224,35818.1851,831.1424,549.0225,282.1202
2016/2/3,104671.7637,65694.8482,34482.8603,185.9001,125.21,60.69
2016/2/4,104851.4955,67614.8376,32644.4175,1395.3002,1066.3899,328.9102
2016/2/5,93773.2219,59797.9485,30654.5353,1185.757,980.0213,205.7359
2016/2/6,89429.5746,59232.3439,27969.0479,939.22,421.04,518.18
2016/2/7,84120.0078,55613.4774,26706.1033,2859.7744,2128.3107,731.4436
2016/2/8,66672.2012,43848.1514,22480.5478,2280.8482,1693.765,587.0831
2016/2/9,57214.8347,39426.559,18455.2426,3402.4054,2149.06,1253.3453
2016/2/10,52405.9628,36642.8741,16323.1268,2607.7749,1931.7266,676.0584
